"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102565","Given I am on the home page","","Fri Mar 07 16:31:07 EET 2025","passed","Fri Mar 07 16:32:50 EET 2025","","Shopping Cart Management: Add a product to the shopping cart","Shopping Cart Management: Add a product to the shopping cart","Given I am on the home page"
"","1374","When I search for ""bag""","","Tue Mar 04 05:52:40 EET 2025","passed","Tue Mar 04 05:52:41 EET 2025","","Product Search: Search for products with different terms","Product Search: Search for products with different terms","When I search for ""bag"""
"","14600","And I add the product to my cart","","Fri Mar 07 16:36:11 EET 2025","passed","Fri Mar 07 16:36:25 EET 2025","","Shopping Cart Management: Add multiple products to the shopping cart","Shopping Cart Management: Add multiple products to the shopping cart","And I add the product to my cart"
"","4656","And I click on the first product in the search results","","Fri Mar 07 16:32:55 EET 2025","passed","Fri Mar 07 16:32:59 EET 2025","","Shopping Cart Management: Add a product to the shopping cart","Shopping Cart Management: Add a product to the shopping cart","And I click on the first product in the search results"
"","131","And the search results should contain ""shirt"" products","","Fri Mar 07 16:30:35 EET 2025","passed","Fri Mar 07 16:30:36 EET 2025","","Product Search: Search for products with different terms","Product Search: Search for products with different terms","And the search results should contain ""shirt"" products"
"","5347","And I click on the first product in the search results","","Fri Mar 07 16:36:05 EET 2025","passed","Fri Mar 07 16:36:11 EET 2025","","Shopping Cart Management: Add multiple products to the shopping cart","Shopping Cart Management: Add multiple products to the shopping cart","And I click on the first product in the search results"
"","4975","When I search for ""yoga""","","Fri Mar 07 16:32:50 EET 2025","passed","Fri Mar 07 16:32:55 EET 2025","","Shopping Cart Management: Add a product to the shopping cart","Shopping Cart Management: Add a product to the shopping cart","When I search for ""yoga"""
"","39965","Given I have a product in my shopping cart","","Fri Mar 07 16:35:18 EET 2025","passed","Fri Mar 07 16:35:58 EET 2025","","Shopping Cart Management: Add multiple products to the shopping cart","Shopping Cart Management: Add multiple products to the shopping cart","Given I have a product in my shopping cart"
"","2814","And the product should be in my shopping cart","","Tue Mar 04 06:02:51 EET 2025","passed","Tue Mar 04 06:02:53 EET 2025","","Shopping Cart Management: Add a product to the shopping cart","Shopping Cart Management: Add a product to the shopping cart","And the product should be in my shopping cart"
"","5005","When I search for ""yoga""","","Fri Mar 07 16:30:23 EET 2025","passed","Fri Mar 07 16:30:28 EET 2025","","Product Search: Search for a product by name","Product Search: Search for a product by name","When I search for ""yoga"""
"","16035","When I remove ""Yoga"" from my shopping cart","","Fri Mar 07 05:27:38 EET 2025","broken","Fri Mar 07 05:27:55 EET 2025","","Shopping Cart Management: Remove a product from the shopping cart","Shopping Cart Management: Remove a product from the shopping cart","When I remove ""Yoga"" from my shopping cart"
"","2174","Given I am on the home page","","Fri Mar 07 16:35:58 EET 2025","passed","Fri Mar 07 16:36:00 EET 2025","","Shopping Cart Management: Add multiple products to the shopping cart","Shopping Cart Management: Add multiple products to the shopping cart","Given I am on the home page"
"","4423","Given I am on the home page","","Fri Mar 07 16:30:18 EET 2025","passed","Fri Mar 07 16:30:23 EET 2025","","Product Search: Search for a product by name","Product Search: Search for a product by name","Given I am on the home page"
"","14940","When I update the product quantity to 2","","Fri Mar 07 16:34:02 EET 2025","passed","Fri Mar 07 16:34:17 EET 2025","","Shopping Cart Management: Update product quantity in the shopping cart","Shopping Cart Management: Update product quantity in the shopping cart","When I update the product quantity to 2"
"","117","","","Fri Mar 07 16:30:55 EET 2025","passed","Fri Mar 07 16:30:55 EET 2025","","Product Search: Search for products with different terms","Product Search: Search for products with different terms",""
"","2269","Given I am on the home page","","Fri Mar 07 16:30:55 EET 2025","passed","Fri Mar 07 16:30:58 EET 2025","","Product Search: Search with partial product name","Product Search: Search with partial product name","Given I am on the home page"
"","2035","Then I should see a success message","","Tue Mar 04 06:02:49 EET 2025","passed","Tue Mar 04 06:02:51 EET 2025","","Shopping Cart Management: Add a product to the shopping cart","Shopping Cart Management: Add a product to the shopping cart","Then I should see a success message"
"","52","And the search results should contain ""jacket"" products","","Fri Mar 07 16:31:03 EET 2025","passed","Fri Mar 07 16:31:03 EET 2025","","Product Search: Search with partial product name","Product Search: Search with partial product name","And the search results should contain ""jacket"" products"
"","5308","When I search for ""jack""","","Fri Mar 07 16:30:58 EET 2025","passed","Fri Mar 07 16:31:03 EET 2025","","Product Search: Search with partial product name","Product Search: Search with partial product name","When I search for ""jack"""
"","13","And the search results should contain ""bag"" products","","Tue Mar 04 05:52:41 EET 2025","passed","Tue Mar 04 05:52:41 EET 2025","","Product Search: Search for products with different terms","Product Search: Search for products with different terms","And the search results should contain ""bag"" products"
"","0","When I remove the product from my cart","","Tue Mar 04 06:04:15 EET 2025","skipped","Tue Mar 04 06:04:15 EET 2025","","Shopping Cart Management: Remove a product from the shopping cart","Shopping Cart Management: Remove a product from the shopping cart","When I remove the product from my cart"
"","119","","","Fri Mar 07 16:34:23 EET 2025","passed","Fri Mar 07 16:34:23 EET 2025","","Shopping Cart Management: Update product quantity in the shopping cart","Shopping Cart Management: Update product quantity in the shopping cart",""
"","41","And the search results should contain ""pants"" products","","Fri Mar 07 16:30:55 EET 2025","passed","Fri Mar 07 16:30:55 EET 2025","","Product Search: Search for products with different terms","Product Search: Search for products with different terms","And the search results should contain ""pants"" products"
"","4871","When I search for ""shirt""","","Fri Mar 07 16:36:00 EET 2025","passed","Fri Mar 07 16:36:05 EET 2025","","Shopping Cart Management: Add multiple products to the shopping cart","Shopping Cart Management: Add multiple products to the shopping cart","When I search for ""shirt"""
"","132","","","Fri Mar 07 16:33:21 EET 2025","passed","Fri Mar 07 16:33:21 EET 2025","","Shopping Cart Management: Add a product to the shopping cart","Shopping Cart Management: Add a product to the shopping cart",""
"","128","","","Fri Mar 07 16:31:03 EET 2025","passed","Fri Mar 07 16:31:03 EET 2025","","Product Search: Search with partial product name","Product Search: Search with partial product name",""
"","6653","Then I should have items in my shopping cart","","Fri Mar 07 16:33:14 EET 2025","passed","Fri Mar 07 16:33:21 EET 2025","","Shopping Cart Management: Add a product to the shopping cart","Shopping Cart Management: Add a product to the shopping cart","Then I should have items in my shopping cart"
"","120","And I add the product to my cart with size ""M"" and color ""Black""","","Tue Mar 04 06:02:48 EET 2025","passed","Tue Mar 04 06:02:49 EET 2025","","Shopping Cart Management: Add a product to the shopping cart","Shopping Cart Management: Add a product to the shopping cart","And I add the product to my cart with size ""M"" and color ""Black"""
"","129","","","Fri Mar 07 16:36:31 EET 2025","passed","Fri Mar 07 16:36:32 EET 2025","","Shopping Cart Management: Add multiple products to the shopping cart","Shopping Cart Management: Add multiple products to the shopping cart",""
